"is and is subject to",18,"is and is subject","to"
"is provided as is and",18,"is provided as is","and"
"is subject to change or",18,"is subject to change","or"
"its been a while since",18,"its been a while","since"
"linking to amazoncom amazonca amazoncouk",18,"linking to amazoncom amazonca","amazoncouk"
"llc and amazon eu associates",18,"llc and amazon eu","associates"
"llc andor amazon eu this",18,"llc andor amazon eu","this"
"means for sites to earn",18,"means for sites to","earn"
"of the rest of the",18,"of the rest of","the"
"on this website comes from",18,"on this website comes","from"
"or removal at any time",18,"or removal at any","time"
"participant in the amazon services",18,"participant in the amazon","services"
"programmes designed to provide a",18,"programmes designed to provide","a"
"provide a means for sites",18,"provide a means for","sites"
"provided as is and is",18,"provided as is and","is"
"services llc and amazon eu",18,"services llc and amazon","eu"
"services llc andor amazon eu",18,"services llc andor amazon","eu"
"sites to earn advertising fees",18,"sites to earn advertising","fees"
"subject to change or removal",18,"subject to change or","removal"
"that appears on this website",18,"that appears on this","website"
"the amazon services llc and",18,"the amazon services llc","and"
"the first half of the",18,"the first half of","the"
"the free game online paintball",18,"the free game online","paintball"
"this content is provided as",18,"this content is provided","as"
"this is going to be",18,"this is going to","be"
"this website comes from amazon",18,"this website comes from","amazon"
"those of you who are",18,"those of you who","are"
"to amazoncom amazonca amazoncouk amazonde",18,"to amazoncom amazonca amazoncouk","amazonde"
"to be able to do",18,"to be able to","do"
"to change or removal at",18,"to change or removal","at"
"to earn advertising fees by",18,"to earn advertising fees","by"
"to get out of the",18,"to get out of","the"
"to provide a means for",18,"to provide a means","for"
"website comes from amazon services",18,"website comes from amazon","services"
"a few years ago i",17,"a few years ago","i"
"and for the first time",17,"and for the first","time"
"at the same time the",17,"at the same time","the"
"been a while since i",17,"been a while since","i"
"dont get me wrong i",17,"dont get me wrong","i"
"each and every one of",17,"each and every one","of"
"had a lot of fun",17,"had a lot of","fun"
"i had no idea what",17,"i had no idea","what"
"i was able to get",17,"i was able to","get"
"if you are interested in",17,"if you are interested","in"
"in such a way that",17,"in such a way","that"
"in the midst of the",17,"in the midst of","the"
"is one of the best",17,"is one of the","best"
"on the day of the",17,"on the day of","the"
"one of the things i",17,"one of the things","i"
"only a matter of time",17,"only a matter of","time"
"over the past few years",17,"over the past few","years"
"the side of the road",17,"the side of the","road"
"there are a number of",17,"there are a number","of"
"there was a lot of",17,"there was a lot","of"
"was one of the most",17,"was one of the","most"
"and at the same time",16,"and at the same","time"
"as far as i know",16,"as far as i","know"
"as much as i love",16,"as much as i","love"
"as you can see from",16,"as you can see","from"
"for a long time and",16,"for a long time","and"
"going to be able to",16,"going to be able","to"
"i dont know if i",16,"i dont know if","i"
"i have to admit that",16,"i have to admit","that"
"it is going to be",16,"it is going to","be"
"it is one of the",16,"it is one of","the"
"on the other hand is",16,"on the other hand","is"
"so there you have it",16,"so there you have","it"
"spent a lot of time",16,"spent a lot of","time"
"the end of the book",16,"the end of the","book"
"to be part of the",16,"to be part of","the"
"to come up with a",16,"to come up with","a"
"to the front of the",16,"to the front of","the"
"to the rest of the",16,"to the rest of","the"
"was a bit of a",16,"was a bit of","a"
"was one of the best",16,"was one of the","best"
"what it means to be",16,"what it means to","be"
"a year and a half",15,"a year and a","half"
"as much as i can",15,"as much as i","can"
"at the front of the",15,"at the front of","the"
"but when it comes to",15,"but when it comes","to"
"fell in love with the",15,"fell in love with","the"
"for the first time and",15,"for the first time","and"
"here are a couple of",15,"here are a couple","of"
"hope you all have a",15,"hope you all have","a"
"i do not want to",15,"i do not want","to"
"i dont know what to",15,"i dont know what","to"
"i have to admit i",15,"i have to admit","i"
"i knew i had to",15,"i knew i had","to"
"i know a lot of",15,"i know a lot","of"
"i was lucky enough to",15,"i was lucky enough","to"
"if you dont have a",15,"if you dont have","a"
"it was the first time",15,"it was the first","time"
"it would be nice to",15,"it would be nice","to"
"on the back of the",15,"on the back of","the"
"one of the most important",15,"one of the most","important"
"rock and roll hall of",15,"rock and roll hall","of"
"season with salt and pepper",15,"season with salt and","pepper"
"stylebackground none repeat scroll yellow",15,"stylebackground none repeat scroll","yellow"
"the first round of the",15,"the first round of","the"
"the second half of the",15,"the second half of","the"
"this is one of those",15,"this is one of","those"
"to go back to the",15,"to go back to","the"
"to make the most of",15,"to make the most","of"
"was one of the first",15,"was one of the","first"
"we have a lot of",15,"we have a lot","of"
"when i was growing up",15,"when i was growing","up"
"you dont have to be",15,"you dont have to","be"
"all i can say is",14,"all i can say","is"
"at the same time and",14,"at the same time","and"
"before the end of the",14,"before the end of","the"
"but at the end of",14,"but at the end","of"
"chicago chicago illinois incorporated in",14,"chicago chicago illinois incorporated","in"
"come to think of it",14,"come to think of","it"
"could not be reached for",14,"could not be reached","for"
"day in and day out",14,"day in and day","out"
"dont know what to do",14,"dont know what to","do"
"for a couple of weeks",14,"for a couple of","weeks"
"for a very long time",14,"for a very long","time"
"for those of you that",14,"for those of you","that"
"from all over the world",14,"from all over the","world"
"had something to do with",14,"had something to do","with"
"i can tell you that",14,"i can tell you","that"
"i havent been able to",14,"i havent been able","to"
"i think it would be",14,"i think it would","be"
"i thought it was a",14,"i thought it was","a"
"i want to be able",14,"i want to be","able"
"in the case of the",14,"in the case of","the"
"in the last couple of",14,"in the last couple","of"
"in the past few years",14,"in the past few","years"
"in the top of the",14,"in the top of","the"
"is a bit of a",14,"is a bit of","a"
"it turned out to be",14,"it turned out to","be"
"it was one of those",14,"it was one of","those"
"of chicago chicago illinois incorporated",14,"of chicago chicago illinois","incorporated"
"on the other hand i",14,"on the other hand","i"
"or at the very least",14,"or at the very","least"
"over the course of the",14,"over the course of","the"
"there is no need to",14,"there is no need","to"
"those of you who have",14,"those of you who","have"
"to get back to the",14,"to get back to","the"
"to keep an eye on",14,"to keep an eye","on"
"to the bottom of the",14,"to the bottom of","the"
"until the end of the",14,"until the end of","the"
"was going to be a",14,"was going to be","a"
"will not be able to",14,"will not be able","to"
"a little bit of a",13,"a little bit of","a"
"all at the same time",13,"all at the same","time"
"all the way to the",13,"all the way to","the"
"and im not going to",13,"and im not going","to"
"and let me tell you",13,"and let me tell","you"
"as far as i can",13,"as far as i","can"
"at the end of this",13,"at the end of","this"
"for a chance to win",13,"for a chance to","win"
"for those of us who",13,"for those of us","who"
"from the rest of the",13,"from the rest of","the"
"have nothing to do with",13,"have nothing to do","with"
"i cant make my spouse",13,"i cant make my","spouse"
"i have been trying to",13,"i have been trying","to"
"i have to tell you",13,"i have to tell","you"
"i was not able to",13,"i was not able","to"
"if you are looking for",13,"if you are looking","for"
"if you dont want to",13,"if you dont want","to"
"in the first round of",13,"in the first round","of"
"in the same way that",13,"in the same way","that"
"is one of my favorite",13,"is one of my","favorite"
"it is what it is",13,"it is what it","is"
"it would be fun to",13,"it would be fun","to"
"love to hear from you",13,"love to hear from","you"
"most of the time i",13,"most of the time","i"
"need to be able to",13,"need to be able","to"
"not a big fan of",13,"not a big fan","of"
"not be reached for comment",13,"not be reached for","comment"
"on condition of anonymity because",13,"on condition of anonymity","because"
"on more than one occasion",13,"on more than one","occasion"
"one of the most popular",13,"one of the most","popular"
"thank you so much for",13,"thank you so much","for"
"that was one of the",13,"that was one of","the"
"the other end of the",13,"the other end of","the"
"the rest of the week",13,"the rest of the","week"
"the right thing to do",13,"the right thing to","do"
"the rock and roll hall",13,"the rock and roll","hall"
"there is no way to",13,"there is no way","to"
"this is one of my",13,"this is one of","my"
"this was the first time",13,"this was the first","time"
"thought it would be a",13,"thought it would be","a"
"was the first time i",13,"was the first time","i"
"a few weeks ago i",12,"a few weeks ago","i"
"a lot of people who",12,"a lot of people","who"
"a man and a woman",12,"a man and a","woman"
"all the way up to",12,"all the way up","to"
"and all of a sudden",12,"and all of a","sudden"
"and roll hall of fame",12,"and roll hall of","fame"
"as a matter of fact",12,"as a matter of","fact"
"as much as i do",12,"as much as i","do"
"at the back of the",12,"at the back of","the"
"at the same time it",12,"at the same time","it"
"before i knew it i",12,"before i knew it","i"
"but im not going to",12,"but im not going","to"
"by the end of this",12,"by the end of","this"
"by the time we got",12,"by the time we","got"
"centers for control and prevention",12,"centers for control and","prevention"
"first time in my life",12,"first time in my","life"
"for a couple of hours",12,"for a couple of","hours"
"for the rest of my",12,"for the rest of","my"
"g protein g carbohydrate g",12,"g protein g carbohydrate","g"
"had nothing to do with",12,"had nothing to do","with"
"hope you all had a",12,"hope you all had","a"
"i am going to be",12,"i am going to","be"
"i am so excited to",12,"i am so excited","to"
"i dont know what i",12,"i dont know what","i"
"i dont know why i",12,"i dont know why","i"
"i was looking for a",12,"i was looking for","a"
"i wont be able to",12,"i wont be able","to"
"if you have any questions",12,"if you have any","questions"
"if you want to know",12,"if you want to","know"
"im not sure if i",12,"im not sure if","i"
"im really looking forward to",12,"im really looking forward","to"
"in the first quarter of",12,"in the first quarter","of"
"in the midst of a",12,"in the midst of","a"
"in the shape of a",12,"in the shape of","a"
"in the united states and",12,"in the united states","and"
"in the wake of the",12,"in the wake of","the"
"is no such thing as",12,"is no such thing","as"
"is not to say that",12,"is not to say","that"
"is one of the few",12,"is one of the","few"
"is survived by his wife",12,"is survived by his","wife"
"it would be a good",12,"it would be a","good"
"keep an eye out for",12,"keep an eye out","for"
"let me know if you",12,"let me know if","you"
"level mp cost duration seconds",12,"level mp cost duration","seconds"
"look at some of the",12,"look at some of","the"
"me know what you think",12,"me know what you","think"
"middle of the night and",12,"middle of the night","and"
"on the way to the",12,"on the way to","the"
"one of the reasons i",12,"one of the reasons","i"
"over the next few days",12,"over the next few","days"
"said in a news release",12,"said in a news","release"
"spoke on condition of anonymity",12,"spoke on condition of","anonymity"
"the first time in my",12,"the first time in","my"
"the greenville newspaper south carolina",12,"the greenville newspaper south","carolina"
"the italian people in italy",12,"the italian people in","italy"
"there are a couple of",12,"there are a couple","of"
"there is no such thing",12,"there is no such","thing"
"there seems to be a",12,"there seems to be","a"
"there were a lot of",12,"there were a lot","of"
"this is not to say",12,"this is not to","say"
"to be able to go",12,"to be able to","go"
"to do with the fact",12,"to do with the","fact"
"to keep up with the",12,"to keep up with","the"
"to take a look at",12,"to take a look","at"
"wanted to be able to",12,"wanted to be able","to"
"was a member of the",12,"was a member of","the"
"was supposed to be a",12,"was supposed to be","a"
"what it would be like",12,"what it would be","like"
"when you look at the",12,"when you look at","the"
"you will be able to",12,"you will be able","to"
"a great way to get",11,"a great way to","get"
"a lot to do with",11,"a lot to do","with"
"accepted and allowed myself to",11,"accepted and allowed myself","to"
"all i have to do",11,"all i have to","do"
"and i would like to",11,"and i would like","to"
"are just a few of",11,"are just a few","of"
"as long as they are",11,"as long as they","are"
"at the bottom of this",11,"at the bottom of","this"
"at the end of last",11,"at the end of","last"
"at the heart of the",11,"at the heart of","the"
"be sure to check out",11,"be sure to check","out"
"but for the most part",11,"but for the most","part"
"cant tell you how many",11,"cant tell you how","many"
"for a long time i",11,"for a long time","i"
"for a number of years",11,"for a number of","years"
"for taking the time to",11,"for taking the time","to"
"for the first time the",11,"for the first time","the"
"get in the way of",11,"get in the way","of"
"go so far as to",11,"go so far as","to"
"hope you are having a",11,"hope you are having","a"
"i am so happy to",11,"i am so happy","to"
"i didnt want to be",11,"i didnt want to","be"
"i dont know how to",11,"i dont know how","to"
"i had a hard time",11,"i had a hard","time"
"i have no idea why",11,"i have no idea","why"
"i have to do is",11,"i have to do","is"
"i want to be a",11,"i want to be","a"
"i would like to see",11,"i would like to","see"
"i would like to share",11,"i would like to","share"
"if youre looking for a",11,"if youre looking for","a"
"in item b above pp",11,"in item b above","pp"
"in the late s and",11,"in the late s","and"
"in the name of the",11,"in the name of","the"
"in the st louis area",11,"in the st louis","area"
"is not going to be",11,"is not going to","be"
"it seems to me that",11,"it seems to me","that"
"its not going to be",11,"its not going to","be"
"late s and early s",11,"late s and early","s"
"may or may not be",11,"may or may not","be"
"might not be able to",11,"might not be able","to"
"more than half of the",11,"more than half of","the"
"my husband and i have",11,"my husband and i","have"
"now is the time to",11,"now is the time","to"
"on the other hand was",11,"on the other hand","was"
"one of my favorite things",11,"one of my favorite","things"
"one way or the other",11,"one way or the","other"
"salt and pepper to taste",11,"salt and pepper to","taste"
"so much for stopping by",11,"so much for stopping","by"
"step in the right direction",11,"step in the right","direction"
"thanks for stopping by and",11,"thanks for stopping by","and"
"that he was going to",11,"that he was going","to"
"the benefit of the doubt",11,"the benefit of the","doubt"
"the fact that it is",11,"the fact that it","is"
"the fact that it was",11,"the fact that it","was"
"the first time in a",11,"the first time in","a"
"the home was sold by",11,"the home was sold","by"
"the late s and early",11,"the late s and","early"
"the north dakota snowmobile trail",11,"the north dakota snowmobile","trail"
"thought it would be fun",11,"thought it would be","fun"
"to take advantage of the",11,"to take advantage of","the"
"to the back of the",11,"to the back of","the"
"up in the middle of",11,"up in the middle","of"
"we had a great time",11,"we had a great","time"
"what do you think about",11,"what do you think","about"
"what i want to do",11,"what i want to","do"
"while at the same time",11,"while at the same","time"
"will have the opportunity to",11,"will have the opportunity","to"
"you can see from the",11,"you can see from","the"
"a lot of time to",10,"a lot of time","to"
"a lot of work to",10,"a lot of work","to"
"about the size of a",10,"about the size of","a"
"across the street from the",10,"across the street from","the"
"are a few of the",10,"are a few of","the"
"are going to have to",10,"are going to have","to"
"as soon as i saw",10,"as soon as i","saw"
"at a time when the",10,"at a time when","the"
"at the same time as",10,"at the same time","as"
"at the same time he",10,"at the same time","he"
"at the same time we",10,"at the same time","we"
"bake for minutes or until",10,"bake for minutes or","until"
"be able to do it",10,"be able to do","it"
"but as you can see",10,"but as you can","see"
"but i dont want to",10,"but i dont want","to"
"but on the other hand",10,"but on the other","hand"
"by the time i was",10,"by the time i","was"
"can be found on the",10,"can be found on","the"
"declined to comment on the",10,"declined to comment on","the"
"for a couple of days",10,"for a couple of","days"
"for a couple of years",10,"for a couple of","years"
"for the first time this",10,"for the first time","this"
"for the next two years",10,"for the next two","years"
"for to minutes or until",10,"for to minutes or","until"
"g g saturated mg cholesterol",10,"g g saturated mg","cholesterol"
"he was one of the",10,"he was one of","the"
"here are a few of",10,"here are a few","of"
"i cant wait to get",10,"i cant wait to","get"
"i decided to make a",10,"i decided to make","a"
"i decided to take a",10,"i decided to take","a"
"i do say so myself",10,"i do say so","myself"
"i dont think i have",10,"i dont think i","have"
"i dont want to go",10,"i dont want to","go"
"i feel like i have",10,"i feel like i","have"
"i forgive myself that i",10,"i forgive myself that","i"
"i had no idea how",10,"i had no idea","how"
"i had to do was",10,"i had to do","was"
"i have a hard time",10,"i have a hard","time"
"i hope you all have",10,"i hope you all","have"
"i really dont want to",10,"i really dont want","to"
"i thought i would share",10,"i thought i would","share"
"i want you to know",10,"i want you to","know"
"i was fortunate enough to",10,"i was fortunate enough","to"
"i was going to be",10,"i was going to","be"
"i woke up this morning",10,"i woke up this","morning"
"i would be able to",10,"i would be able","to"
"if i do say so",10,"if i do say","so"
"if you are like me",10,"if you are like","me"
"if you are reading this",10,"if you are reading","this"
"if you want to see",10,"if you want to","see"
"im not a fan of",10,"im not a fan","of"
"in a couple of weeks",10,"in a couple of","weeks"
"in a lot of ways",10,"in a lot of","ways"
"in one of the most",10,"in one of the","most"
"in the case of a",10,"in the case of","a"
"in the first place i",10,"in the first place","i"
"in the last few years",10,"in the last few","years"
"in the next couple of",10,"in the next couple","of"
"in the spirit of the",10,"in the spirit of","the"
"incorporated in item b above",10,"incorporated in item b","above"
"is one of the more",10,"is one of the","more"
"is one of the reasons",10,"is one of the","reasons"
"it has been a while",10,"it has been a","while"
"it occurred to me that",10,"it occurred to me","that"
"just a few of the",10,"just a few of","the"
"just to name a few",10,"just to name a","few"
"may not be able to",10,"may not be able","to"
"may or may not have",10,"may or may not","have"
"needless to say i was",10,"needless to say i","was"
"of health and human services",10,"of health and human","services"
"on the back of my",10,"on the back of","my"
"on the top of the",10,"on the top of","the"
"over the next few weeks",10,"over the next few","weeks"
"right in the middle of",10,"right in the middle","of"
"said in a statement that",10,"said in a statement","that"
"so i thought i would",10,"so i thought i","would"
"something to do with the",10,"something to do with","the"
"thank you all for your",10,"thank you all for","your"
"thanks so much for stopping",10,"thanks so much for","stopping"
"that is going to be",10,"that is going to","be"
"the bottom of this post",10,"the bottom of this","post"
"the dow jones industrial average",10,"the dow jones industrial","average"
"the fact that i was",10,"the fact that i","was"
"the first three months of",10,"the first three months","of"
"the last couple of weeks",10,"the last couple of","weeks"
"the left side of the",10,"the left side of","the"
"the new york stock exchange",10,"the new york stock","exchange"
"the next couple of weeks",10,"the next couple of","weeks"
"the only way to get",10,"the only way to","get"
"the past couple of weeks",10,"the past couple of","weeks"
"the rest of the story",10,"the rest of the","story"
"the top of my head",10,"the top of my","head"
"the top of the page",10,"the top of the","page"
"the us department of justice",10,"the us department of","justice"
"there are so many things",10,"there are so many","things"
"there is no doubt that",10,"there is no doubt","that"
"there is so much more",10,"there is so much","more"
"this time of the year",10,"this time of the","year"
"to be able to get",10,"to be able to","get"
"to get back into the",10,"to get back into","the"
"to get out of bed",10,"to get out of","bed"
"to learn more about the",10,"to learn more about","the"
"to take a picture of",10,"to take a picture","of"
"to take care of it",10,"to take care of","it"
"to the right of the",10,"to the right of","the"
"towards the end of the",10,"towards the end of","the"
"wake up in the morning",10,"wake up in the","morning"
"what do you think of",10,"what do you think","of"
"what i wanted to do",10,"what i wanted to","do"
"which is one of the",10,"which is one of","the"
"will be able to get",10,"will be able to","get"
"would not be able to",10,"would not be able","to"
"you wont be able to",10,"you wont be able","to"
"a big thank you to",9,"a big thank you","to"
"a closer look at the",9,"a closer look at","the"
"a little bit of the",9,"a little bit of","the"
"a look at some of",9,"a look at some","of"
"a lot of people are",9,"a lot of people","are"
"a lot of time on",9,"a lot of time","on"
"a step in the right",9,"a step in the","right"
"a thing or two about",9,"a thing or two","about"
"all i can do is",9,"all i can do","is"
"all i know is that",9,"all i know is","that"
"all you need to do",9,"all you need to","do"
"and for the most part",9,"and for the most","part"
"and i dont have to",9,"and i dont have","to"
"and the list goes on",9,"and the list goes","on"
"are a few of my",9,"are a few of","my"
"as much as you can",9,"as much as you","can"
"as you can see i",9,"as you can see","i"
"at least once a week",9,"at least once a","week"
"at the beginning of this",9,"at the beginning of","this"
"at the edge of the",9,"at the edge of","the"
"at the end of our",9,"at the end of","our"
"at the expense of the",9,"at the expense of","the"
"attacks up to enemies times",9,"attacks up to enemies","times"
"be a part of a",9,"be a part of","a"
"been thinking a lot about",9,"been thinking a lot","about"
"but i am going to",9,"but i am going","to"
"but if you want to",9,"but if you want","to"
"chance to stun the for",9,"chance to stun the","for"
"day in the life of",9,"day in the life","of"
"department of health and human",9,"department of health and","human"
"dont know what it is",9,"dont know what it","is"
"every now and then i",9,"every now and then","i"
"every single one of them",9,"every single one of","them"
"figure out a way to",9,"figure out a way","to"
"for a long time but",9,"for a long time","but"
"for the rest of us",9,"for the rest of","us"
"for those who want to",9,"for those who want","to"
"get caught up in the",9,"get caught up in","the"
"has been one of the",9,"has been one of","the"
"has to do with the",9,"has to do with","the"
"have a long way to",9,"have a long way","to"
"have accepted and allowed myself",9,"have accepted and allowed","myself"
"here are some of my",9,"here are some of","my"
"here is an example of",9,"here is an example","of"
"hundreds of millions of dollars",9,"hundreds of millions of","dollars"
"i am a fan of",9,"i am a fan","of"
"i am going to do",9,"i am going to","do"
"i cant even begin to",9,"i cant even begin","to"
"i cant help but think",9,"i cant help but","think"
"i dont know how many",9,"i dont know how","many"
"i dont think i can",9,"i dont think i","can"
"i guess you could say",9,"i guess you could","say"
"i had the pleasure of",9,"i had the pleasure","of"
"i have accepted and allowed",9,"i have accepted and","allowed"
"i have been able to",9,"i have been able","to"
"i have been wanting to",9,"i have been wanting","to"
"i have been working on",9,"i have been working","on"
"i have no idea where",9,"i have no idea","where"
"i have to say it",9,"i have to say","it"
"i hope you have a",9,"i hope you have","a"
"i knew i wanted to",9,"i knew i wanted","to"
"i knew it i was",9,"i knew it i","was"
"i like to think that",9,"i like to think","that"
"i love the fact that",9,"i love the fact","that"
"i wanted it to be",9,"i wanted it to","be"
"i wish i could have",9,"i wish i could","have"
"i would like to thank",9,"i would like to","thank"
"if you want to make",9,"if you want to","make"
"in an interview with the",9,"in an interview with","the"
"in and out of the",9,"in and out of","the"
"in sc dec sc in",9,"in sc dec sc","in"
"in the back of my",9,"in the back of","my"
"in the first half of",9,"in the first half","of"
"in the next few days",9,"in the next few","days"
"in the past few months",9,"in the past few","months"
"in the second half of",9,"in the second half","of"
"is going to be the",9,"is going to be","the"
"is in the process of",9,"is in the process","of"
"is just one of the",9,"is just one of","the"
"it doesnt have to be",9,"it doesnt have to","be"
"it has to do with",9,"it has to do","with"
"it means to be a",9,"it means to be","a"
"it was a bit of",9,"it was a bit","of"
"it was only a matter",9,"it was only a","matter"
"it was so much fun",9,"it was so much","fun"
"it will be interesting to",9,"it will be interesting","to"
"its been a long time",9,"its been a long","time"
"lets take a look at",9,"lets take a look","at"
"like the rest of the",9,"like the rest of","the"
"million or cents per share",9,"million or cents per","share"
"more than a year ago",9,"more than a year","ago"
